ORGANIZATION,ADDRESS,Tel,FAX,WEBSITE,EMAIL,lon,lat
Lakeside Family Centre - Jurong West,Blk 516 Jurong West Street 52 #01-73 Singapore 640516,6567 1908,6565 6435,www.lakeside.org.sg,-,103.7177185,1.3476035
Lakeside Family Centre - Taman Jurong,Blk 21 Yung Ho Road #03-01 Singapore 618593,6265 6522,6265 6523,www.lakeside.org.sg,christine-cheong@lakeside.org.sg,103.7246252,1.3269863
Lakeside Family Services - Safe Place,Blk 21 Yung Ho Road #03-01 Singapore 618593,6817 4202,-,www.safeplace.org.sg,safeplace@lakeside.org.sg,103.7246252,1.3269863
Life Community Services Society,Blk 5  Stadium Walk #04-04/07  Kallang Leisure Park Singapore 397693,6387 3700,6387 3768,www.life-community.org,Icss@life-community.org,103.8763889,1.3022222
Life Edu Services Ltd,Blk 86 Circuit Road #01-999 Singapore 370086,6844 6291,-,-,richwuang@hotmail.com,103.8853651,1.3229121
Ling Kwang Home for Senior Citizens,Blk 156  Serangoon Garden Way  Singapore  556055,6287 5466,6284 3567,www.lkhsc.org.sg,general@lkhsc.org.sg,103.8617429,1.3671237
Lions Befrienders Cluster Support,Blk 18 Ghim Moh Road #01-115 Singapore 270018,6681 4020,6467 6009,www.lionsbefrienders.org.sg,yunli.peh@lb.org.sg,103.7870402,1.3101889
Lions Befrienders Service Association,Blk 130 Bukit Merah View #01-350 Singapore 150130,6375 8600,6273 1500,www.lionsbefrienders.org.sg,lbsa@lionsbefrienders.org.sg,103.8244715,1.2850605
Lions Home For The Elders - Bedok,Blk 487 Bedok South Avenue 2 Singapore 469316,6244 0667,6244 1682,www.lionshome.org.sg,lhe.pr@lionshome.org.sg,103.938192,1.320715
Lutheran Community Care Services,Blk 450  Macpherson Road  Singapore  368170,6441 3906,-,www.lccs.org.sg,nigel.lee@lccs.org.sg,103.8821239,1.331927
Majlis Ugama Islam Singapura (MUIS),Blk 273 Bradell Road Singapore Islamic Hub Singapore 579702,6552 5520,6454 7472,www.muis.gov.sg,sapiah_abas@mosque.org.sg,103.8522784,1.3427551
Malay Youth Literary Association (4PM),Blk 606 Bedok Reservoir Road #01-716 Singapore 470606,6242 6288,6242 0610,www.4pm.org.sg,secretariat@4pm.org.sg,103.9138151,1.3316291
Man Fut Tong Nursing Home,Blk 20 Woodlands Street 82 Singapore 738507,6368 3301,6368 6303,www.mft.org.sg,mft@mft.org.sg,103.7905526,1.4434732
Masjid Al-Ansar,Blk 155 Bedok North Avenue 1 Singapore 469751,6449 2420,6449 7249,www.alansarmosque.sg,annurah@alansar.mosque.sg,103.926342,1.327015
Masjid AL-Mawaddah,Blk 151 Compassvale Bow Singapore 544997,6489 0224,6384 0403,www.v1.almawaddah.sg,info@almawaddah.mosque.org.sg,103.8903391,1.3835019
Masjid Ar-Raudhah,Blk 30  Bukit Batok East Avenue 2 Singapore 659919,6899 5840,6564 1924,www.arraudhahmosque.com,arraudhah@arraudhah.mosque.org.sg,103.7558482,1.3517647
MCYC Community Services Society,Blk 106 Bukit Batok Central #01-127 Singapore 650106,6562 2211,6569 8038,www.mcyc.sg,-,103.7471092,1.3482738
Mercy Centre Ltd,Blk 12 Aljunied Road Singapore 389801,67459700,67477533,www.mercy-centre.org,missel@mercy-centre.org,103.882277,1.31406
Metropolitan YMCA Singapore,Blk 10 Lorong 37 Singapore 387907,6747 4914,6733 2144,www.mymca.org.sg,cod@mymca.org.sg,103.889962,1.3159316
Metta Home for the Disabled & Day Activity Centre,Blk 2 Woodlands Street 31 Singapore 738580,6365 7666,6365 7555,www.metta.org.sg,MettaHome@metta.org.sg,103.7757161,1.4296239
Metta School,Blk 30 Simei Street 1 Singapore  529949,6788 5800,6787 5700,www.mettaschool.edu.sg,enquiry@mettaschool.edu.sg,103.9574547,1.3468929
Metta Welfare Association,Blk 32   Simei Street 1 Singapore 529950,6580 4688,6580 4699,www.metta.org.sg,mwa@metta.org.sg,103.957344,1.346664
MINDS - Clementi Training & Development Centre,Blk 304 Clementi Avenue 4 #01-487 Singapore 120304,6776 8743,6776 8741,www.minds.org.sg,ctdc@minds.org.sg,103.764748,1.320993
MINDS - Fernvale Gardens School,Blk 7 Fernvale Road Singapore 797635,6481 6697,-,www.minds.org.sg,fgs@minds.org.sg,103.8752508,1.3898494
MINDS - Idea Employment Development Centre,Blk 29  Rosyth Road  Singapore 546190,6282 4852,-,www.minds.org.sg,-,103.877916,1.363368
MINDS - Lee Kong Chian Garden,Blk 802 Margaret Drive Singapore  149311,6473 8332,6474 4776,-,-,103.813308,1.294647
MINDS - Towner Gardens School,Blk 1B Lengkong Lima Singapore 417557,6446 2612,6234 7498,www.minds.org.sg,tgs@minds.org.sg,103.913372,1.3262446
MINDS - Woodlands Gardens School,Blk 30 Woodlands Ring Road #01-01 Singapore 737883,6468 0566,6468 2142,www.minds.org.sg,wgs@minds.org.sg,103.7979559,1.4378417
MINDSville @ Napiri,Blk 7 Lorong Napiri Singapore 547533,6387 7662,6387 3357,wwww.minds.org.sg,mv@minds.org.sg,103.878488,1.372032
Ministry of Social & Family Development,Blk 512 Thomson Road #15-00 Singapore  298136,6354 8476,6251 3675,-,olivia_shepherdson@msf.gov.sg,103.8396503,1.3336676
Montfort Care - @27 Family Service Centre,Blk 27 Telok Blangah Way #01-1018 Singapore 090027,6270 8327,6276 0441,www.27fsc.org.sg,contact@27fsc.org.sg,103.8213332,1.2745798
Montfort Care - GoodLife!,Blk 15 Marine Terrace #01-18 Singapore 440015,6445 0570,6447 8483,www.goodlife.org.sg,contact@goodlife.org.sg,103.9138399,1.304926
Montfort Care - GoodLife! @ Bedok,Blk 551  Bedok North Avenue 1  #01-550 Singapore  460551,6312 3988,-,www.montfortcare.org.sg,goodlifeBD@montfortcare.org.sg,103.9270503,1.3323405
Montfort Care - GoodLife! @ Kreta Ayer,Blk 151 Chin Swee Road #03-20 169876,6904 9285,-,-,jamie.soo@montfortcare.org.sg,103.8408451,1.2870826
Montfort Care - GoodLife! @ Marine Drive,Blk 1 Marine Parade Central #09-06 Singapore 449408,9641 7492,-,www.goodlife.org.sg,dexter.wong@montfortcare.org.sg,103.9061078,1.301646
Montfort Care - GoodLife! @ Telok Blangah,Blk 27 Telok Blangah Way #01-1018 Singapore 090027,6270 8327,-,www.montfortcare.org.sg,joie.pour@montfortcare.org.sg,103.8213332,1.2745798
Montfort Care - GoodLife! @ Yishun,Blk 838 Yishun Street 81 #01-322 Singapore 760838,64848040,-,www.goodlife.org.sg,goodlife-yishun@montfortcare.org.sg,103.8332833,1.4164009
Montfort Care - Kreta Ayer Family Services,Blk 4 Sago Lane #-03-101 Singapore 050004,6325 4753,6223 0769,www.montfortcare.org.sg,weelee@monfortcare.org.sg,103.8429707,1.2817753
MontfortCare - Marine Parade Family Service Centre,Blk 53 Marine Terrace #01-227 Singapore 440053,6445 0100,6446 0100,www.mpfsc.org.sg,contact@mpfsc.org.sg,103.9163476,1.3051731
Moral Neighbourhood Link - Telok Blangah Crescen,Blk 3 Telok Blangah Crescent 01-504 Singapore 090003,6276 1216,6276 1207,-,mnltbc@thkms.org.sg,103.8179657,1.2795459
Moral Senior Activity Center @ Kaki Bukit,Blk 544  Bedok North Street 3  #01-1340 Singapore  460544,6448 6247,6448 4796,www.chkmps.org.sg,williamlim@chkmps.org.sg,103.9242961,1.3306238
Morning Star Community Services,Blk 4 Lorong  Low  Koon Singapore 536450,6285 1377,6285 2702,www.morningstar.org.sg,mstar@morningstar.org.sg,103.8927502,1.3661017
MSF Social Service Office @ Ang Mo Kio,Blk 6A  Ang Mo Kio Street 53 AMK 3G Centre  Singapore 569208,6554 7929,6458 2040,www.msf.gov.sg,sso_amk_admin@msf.gov.sg,103.8490314,1.3722304
MSF Social Service Office @ Bukit Batok,Blk 369  Bukit Batok Street 31 #01-505 650369,6665 1002,6563 0042,www.msf.gov.sg,sso_bb_admin@msf.gov.sg,103.7505794,1.3597945
MSF Social Service Office @ Bukit Merah,Blk BLK 105 Jalan Bukit Merah #01-1942 160105,6376 5974,6274 9487,www.msf.gov.sg,sso_bm_admin@msf.gov.sg,103.8083548,1.2862153
MSF Social Service Office @ Chua Chu Kang,Blk 8A Teck Whye Lane Singapore 681008,6767 1347,-,www.msf.gov.sg,-,103.7540842,1.3810014
MSF Social Service Office @ Clementi,Blk 358 Clementi Avenue 2 #01-285 Singapore 120358,6774 9066,6744 9050,-,sso_cl_admin@msf.gov.sg,103.768992,1.313534
MSF Social Service Office @ Geylang Seri,Blk 10  Eunos Road 8 #02-01 Singapore Post Centre Singapore 408600,6243 8753,6243 3130,www.msf.gov.sg,Matthew_Lim@msf.gov.sg,103.8945354,1.3189121
MSF Social Service Office @ Jalan Besar,Blk 69  Jellicoe Road Singapore 208737,6295 7205,6299 1245,www.msf.gov.sg,-,103.861731,1.3080179
MSF Social Service Office @ Kreta Ayer,Blk 4 Sogo Lane  #03-101 Singapore  050004,1800-222-0000,62230769,www.msf.gov.sg,sso_ka_admin@msf.gov.sg,103.8429707,1.2817753
MSF Social Service Office @ Queenstown,Blk 402 Commonwealth Drive Blk A #01-01 Singapore 149599,6471 9731,6473 9463,www.msf.gov.sg,msf_email@msf.gov.sg,103.798221,1.303633
MSF Social Service Office @ Serangoon,Blk 332 Serangoon Avenue 3 #01-257 Singapore 550332,1800 222 0000,6702 2984,www.msf.gov.sg,comcare@msf.gov.sg,103.8701338,1.3510256
MSF Social Service Office @ Woodlands,Blk 900 South Woodlands Drive Woodlands Civic Centre #06-13 Singapore 730900,6766 0097,6219 5421,-,vanessa_teo@msf.gov.sg,103.7867371,1.4350468
MSF Social Service Office @ Yishun,Blk 746 Yishun Street 72 #01-127 Singapore 760746,6756 9127,6353 6695,www.msf.gov.sg,christopher_sng@msf.gov.sg,103.833277,1.4289909
MSF Social Sevice Office @ Boon Lay,Blk 189 Boon Lay Drive #01-254 640189,68678580,6261 8208,www.msf.gov.sg,-,103.711385,1.344423
MSF Social Sevice Office @ Jurong East,Blk 8  Jurong Town Hall Road #03-11 The JTC Summit Singapore 609434,1800 222 0000,6551 9298,www.msf.gov.sg,sso_je_admin@msf.gov.sg,103.7415697,1.3313321
MSF Social Sevice Office @ Tampines,"Blk 300  Tampines Avenue 5, NTUC Income Tampines Junction #06-01 Singapore 529653",6424 4017,6424 4066,-,-,103.941842,1.352109
MSF Social Sevice Office @ Toa Payoh,Blk 490 Lorong 6 Toa Payoh HDB Biz Hub Three #07-11 Singapore 310490,6715 7503,6370 9914,-,teo_pei_ching@msf.gov.sg,103.8483552,1.3324354
Muslimin Trust Fund Association,Blk 5 Mattar Road Singapore 387713,67477556,-,www.mtfa.org,adminmtfa@mtfa.org,103.881521,1.325678
MWS Covenant Family Service Centre - Hougang,Blk 613 Hougang Avenue 8 #01-432 Singapore 530613,6282 8558,6283 6361,www.mws.sg,mwscfsc@mws.sg,103.8847759,1.3695217
MWS Family Service Centre - Tampines,Blk 470 Tampines Street 44 #01-194 Singapore 520470,6787 2001,6787 4459,www.mws.sg,mwsfsct@mws.sg,103.9545991,1.3608544
MWS Family Service Centre - Yishun,Blk 855 Yishun Ring Road #01-3539 Singapore 760855,6756 4995,6752 4709,www.mws.sg,MWSfscy@mws.sg,103.8367632,1.4170369
My Centre @ Moulmein,Blk 52 Kent Road #01-16 Singapore 210052,6293 4339,6293 4321,www.viriya.org.sg,sungwen@viriya.org.sg,103.8513813,1.3163579
National Cancer Centre Singapore,Blk 11 Hospital Drive Singapore 169610,6436 8124,6227 2534,-,-,103.8366349,1.2794262
National Healthcare Group Polyclinics,Blk 3 Fusionopolis Link Nexus@one-north South Tower # 05-10 Singapore 138543,6355 3000,-,www.nhgp.com.sg,-,103.7898327,1.2989231
National Heart Centre Singapore,Blk 17 Third Hospital Avenue Mistri Wing Singapore 168752,6704 8635,6436 7614,www.nhcs.com.sg,-,103.8368314,1.2815129
National Kidney Foundation (NKF),Blk 81 Kim Keat Road Singapore 328836,6506 2244,6366 9002,-,-,103.8545526,1.3266604
New Hope Community Services,Blk 148 Yishun Street 11 #01-123 Singapore 760148,6305 9620,6755 3684,-,info@newhopecs.org.sg,103.832379,1.431991
Nexus Family Resource Centre,Blk 990 Upper Changi Road North Level 2 Changi Prison Complex Singapore 506968,6546 7570,6214 9653,www.amkfsc.org.sg,frc-all@amkfsc.org.sg,103.9723158,1.3572716
Ng Teng Fong General Hospital,Blk 1 Jurong East Street 21 Singapore 609606,6716 1024,-,www.juronghealth.com.sg,enquiries@juronghealth.com.sg,103.7452086,1.333841
North East Community Development Council,Blk 300 Tampines Ave 5 NTUC Income Tampines Junction #06-01 Singapore 529653,6424 4000,6424 4066,www.northeastcdc.org.sg,project@northeast.org.sg,103.941842,1.352109
North West Community Development Council,"Blk 900 South Woodlands Drive, Woodlands Civic Centre #06-01 730900",6248 5556,-,-,"Karen_WONG@pa.gov.sg,kwal23@yahoo.com.sg",103.7867371,1.4350468
NTUC Eldercare,Blk 91 Bedok North St 4 #01-1527 Singapore 460091,8612 8301,-,-,-,103.9402762,1.3325399
NTUC Eldercare Co-operative Ltd,Blk 9 Bishan Place Junction 8 Office Tower #10-02 Singapore 579837,6478 5480,6356 7921,www.ntuc.org.sg,ecare@ntuceldercare.org.sg,103.8487631,1.3506808
NTUC First Campus Co-operative Ltd,Blk 229 Mountbatten Road Mountbatten Square  #02-44 Singapore 398007,9722 9008,6509 6323,www.ntucfirstcampus.com,angenette.t@ntucfirstcampus.com,103.8811865,1.3076428
NTUC Health Cluster Support - Taman Jurong,Blk 361 Yung An Road #01-111 Singapore 610361,8612 8298,-,www.ntuchealth.sg,clustersupport@ntuchealth.sg,103.7215336,1.3355729
NTUC Health Cluster Support @ Bukit Merah,Blk 121 Bukit Merah View #01-96 Singapore 151121,6274 1602,-,www.ntuchealth.sg,-,103.8227582,1.2831005
NTUC Health Co-operative Limited,Blk 55 Ubi Avenue 1 #08-01 Singapore 408935,6715 6715,6590 4389,www.ntuchealth.sg,care-home@ntuchealth.sg,103.895447,1.325252
NTUC Health SilverAce @ Bukit Merah,Blk 117  Jalan Bukit Merah #01-1683 160117,62732 969,6273 2169,-,sac-bukitmerah@ntuchelath.sg,103.8265592,1.2818407
NTUC Health SilverACE @ Redhill,Blk 71 Redhill Road 01-29 150071,6473 8557,6475 8553,www.ntuc.org.sg,sac_redhill@ntuchealth.sg,103.8151138,1.2876676
NTUC Health SilverACE @ Taman Jurong,Blk 118A Corporation Drive  611118,6261 6563,6261 6564,https://www.facebook.com/NTUCEldercare,sac_tamanjurong@ntuchealth.sg,103.7228754,1.3354202
O'Joy Care Services,Blk 5 Upper Boon Keng Road #02-10 Singapore 380005,6749 0190,6742 1909,www.ojoy.org,admin@ojoy.org,103.870318,1.3137013
Outram Community Hospital,Blk 10 Hospital Boulevard Singapore 168582,6970 3088,-,-,yong.heng.li@singhealthch.com.sg,103.8353588,1.2779173
Pasir Ris Family Service Centre,Blk 256 Pasir Ris Street 21 #01-289 510256,6581 2159,6584 3580,www.goodnews.org.sg,prfsc@goodnews.org.sg,103.9640257,1.3673207
Pass-It-On,Blk  819 Upp Serangoon Road  534678,8511 9160,6283 3748,www.passiton.org.sg,passiton@thehelphand.org,103.88158,1.357828
Peace Connect,Blk 5 Beach Road #02-4915 Singapore 190005,6291 2473,6291 2479,www.pecco.org.sg,clustersupport@pecco.org.sg,103.8650614,1.3039272
People's Association - Kreta Ayer CC,Blk 28A  Kreta Ayer Road  Singapore 088995,6222 3597,6222 3762,www.pa.gov.sg,PA_KRETAAYERCC@pa.gov.sg,103.842992,1.281155
People's Dialysis Centre,Blk 55 Strathmore Ave  #01-145 Singapore 140055,6778 0330,6777 6155,-,seowyean@live.com,103.8094,1.2933024
Pertapis Education & Welfare Centre,Blk Blk 1  Joo Chiat Road #04-1001 Joo Chiat Complex Singpore 420001,6745 3969,6747 0845,www.pertapis.org.sg,enquiry@pertapis.org.sg,103.8988707,1.315681
PPIS Family Service Centre (East),"Blk 1  Engku Aman Turn, Wisma Geylang Serai   #03-01  Singapore 408528",6950 3503,-,www.ppis.sg,fsceast@ppis.sg,103.8969122,1.3165926
PPIS Family Service Centre (West),Blk 301 Bukit Batok Street 31 #01-01 650301,6561 3462,6561 6420,www.ppis.sg,fscwest@ppis.sg,103.7506526,1.3597968
Presbyterian Community Services,Blk 89 Short Street Golden Wall Centre #08-08 Singapore 188216,6334 4445,6338 7153,www.pcs.org.sg,info@pcs.org.sg,103.8513784,1.3039637
Prison Fellowship Singapore Ltd,Blk 50  Playfair Road  #03-01 Noel Building Singapore  367995,6384 2338,6475 6130,www.pfs.org.sg,-,103.8867007,1.3337972
Project ORBIS International Inc. (Singapore) Ltd,Blk 352  Tanglin Road Tanglin International Centre #02-03  Singapore  247671,6479 5875,6479 1805,sgp.orbis.org,Info.Singapore@orbis.org,103.8144063,1.2952215
Promoting Alternatives To Violence (PAVE),Blk 211 Ang Mo Kio Avenue 3 #01-1446  Singapore 560211,6555 0390,6552 5290,www.pave.org.sg,admin@pave.org.sg,103.8415977,1.3692104
Rainbow Centre - Magaret Drive School,Blk 501 Margaret Drive Singapore 149306,6475 2072,6475 9739,www.rainbowcentre.org.sg,rchq@rainbowcentre.org.sg,103.8090378,1.2974003
Rainbow Centre - Yishun Park School,Blk 15 Yishun Street  61 Singapore 768548,6482 2592,6482 2593,www.rainbowcentre.org.sg,rcyps@rainbowcentre.org.sg,103.837683,1.420277
Reach Community Service Society,Blk 187 Bishan Street 13 01-475 Singapore 570187,6252 2566,6252 2445,www.reach.org.sg,contact@reach.org.sg,103.8499996,1.3483596
REACH Family Service Centre,Blk 187 Bishan Street 13 #01-475 Singapore 570187,6252 2566,6252 2445,www.reach.org.sg,contact@reach.org.sg,103.8513498,1.3495502
Realm Of Tranquility,Blk 547  Woodlands Drive 16 #01-177  Singapore 730547,6891 1981,6469 1371,www.realmoftranquility.com,admiralty@realmoftranquility.com,103.7929003,1.4302698
Ren Ci Hospital,Blk 71  Irrawaddy Road Singapore 329562,6385 0288,6385 0900,www.renci.org.sg,renci@renci.org.sg,103.845971,1.322866
Retired and Senior Volunteer Programme (RSVP),Blk 9 Junction 8 Shopping Centre Bishan Place  #08-02 Singapore 579837,6259 0802,6259 0805,www.rsvp.org.sg,general@rsvp.org.sg,103.8487631,1.3506808
Rotary Family Service Centre,Blk 346 Clementi Ave 5  #01-32 Singapore 120346,6779 9488,6776 2673,www.rotaryfsc.org,enquiry@rotaryfsc.org,103.7671813,1.3168887
SACS Anglican Care Centre - Bukit Batok,Blk 267 Bukit Batok East Avenue 4 #01-206 Singapore 650267,6562 4881,6562 4882,www.sacs.org.sg,acc_bukitbatok@sacs.org.sg,103.7598969,1.348835
SACS Anglican Care Centre - Hougang,Blk 20  Buangkok View (Hougang Green Medical Park) Singapore 534194,6386 9338,6385 8816,www.sacs.org.sg,hcc@sacshcc.org.sg,103.8855753,1.3824524
SACS Anglican Care Centre - Simei,Blk 10   Simei Street 3 Singapore  529897,6586 1064,6586 1096,www.sacs.org.sg,admin@sacs.org.sg,103.9491732,1.34202
SAMH Creative Hub,Blk 90  Goodman Road Goodman Art Centre #01-47 Blk L Singapore 439053,6344 8451,6344 8451,www.samhealth.org.sg/creative-hub/,ch@samhealth.org.sg,103.8852791,1.3040134
SAMH Group Homes,Blk 239 Bukit Batok East Avenue 5 #01-165 Singapore 650239,6564 7003,6565 1498,www.samhealth.org.sg,samhbggh@singnet.com.sg,103.754959,1.350264
SAMH HQ,Blk 69 Toa Payoh Lorong 4 #01-365 310069,6283 1576,6283 2140,www.samhealth.org.sg,samhhq@singnet.com.sg,103.852716,1.3342844
SAMH Mobile Support Team,Blk 1 Jurong West Central 2 Jurong Point Shopping Centre 06-01 Singapore 648886,8511 2678,6515 6918,www.samhealth.org.sg,samhmobile@samhealth.org.sg,103.7067297,1.3397443
SAMH YouthReach,Blk Social Service Hub @ Tiong Bahru Central Plaza  #03-08 Singapore 168730,6593 6420,6665 9326,www.samhealth.org.sg,samhyr@singnet.com.sg,103.8280383,1.2863377
Sanctuary House Ltd,Blk 159A Thomson Road Goldhill Centre Singapore 307612,6221 0588,6221 0589,www.sanctuaryhouse.com.sg,info@sanctuaryhouse.com.sg,103.8432824,1.3184253
SASCO @Telok Blangah,Blk 30 Telok Blangah Ris #01-316 Singapore 090030,6273 5183,6276 8715,www.giventake.sg,tbsw@giventake.sg,103.8201582,1.2737697
Selarang Halfway House,Blk 1825  Upper Changi Road North Singapore  506780,6245 0434,-,-,hwh_admin@yri.com.sg,103.977467,1.3682368
Sembawang Family Service Centre,Blk 326 Sembawang Crescent #01-52 Singapore 750326,6754 7050,6754 0112,sfsc.org.sg,admin@sfsc.org.sg,103.819709,1.4450679
Sengkang General Hospital,Blk 110  Sengkang East Way   Singapore 544886,6930 3577,-,www.skh.com.sg,mss@skh.com.sg,103.89317870000001,1.3936438
Serangoon Moral Family Service Centre,Blk 238 Serangoon Ave 2 #01-47 Singapore 550238,6284 7123,6284 5221,www.smfsc.org.sg,smfsc@singnet.com.sg,103.8690466,1.3535216
Shan You,Blk 5 Upper Boon Keng Road #02-15 Singapore 380005,6741 9293,6741 9352,www.shanyou.org.sg,shanyou@shanyou.org.sg,103.8703199,1.3137019
SHINE Children and Youth Services - Clementi,Blk 329 Clementi Avenue 2 01-248 Singapore 120329,6778 6867,6775 4132,www.shine.org.sg,scys_c01@shine.org.sg,103.7688269,1.314612
SHINE Children and Youth Services - Hougang,Blk 463 Hougang Avenue 10 #01-964 Singapore 530463,6286 9905,6286 6230,www.shine.org.sg,scys_h01@shine.org.sg,103.894856,1.372381
SHINE Children and Youth Services - Yishun,Blk 202 Yishun Street 21 #01-89 Singapore 760202,6759 6821,6759 6829,www.shine.org.sg,scys_y01@shine.org.sg,103.836641,1.4339249
Sikh Welfare Council,Blk 2 Towner Road 306-02 Singapore 327804,6299 9234,6294 1582,www.siwec.org,info@siwec.org,103.860466,1.3188
Silver Co-operative,"Blk HDB Hub, BizThree 490 Lorong 6, Toa Payoh #04-10 310490",6370 9844,-,-,Evelyn_Han@pa.gov.sg,103.8485945,1.3324516
Simei Care Centre,Blk 10 Simei Street 3 Singapore  529897,6781 8113,6781 0823,www.sacs.org.sg,sacs_ho@pacific.net.sg,103.9491732,1.34202
SINDA Family Service Centre,Blk 1 Beatty Road Singapore 209943,6298 5911,6392 4300,www.sinda.org.sg,-,103.8588283,1.3140061
Singapore Action Group of Elders (SAGE),Blk 19 Toa Payoh West Singapore 318876,6353 7159,6353 7148,www.sage.org.sg,-,103.8400022,1.3344237
Singapore After Care Association,Blk 81 Dunlop Street Singapore 209408,6294 2350,6295 0095,www.saca.org.sg,enquiries@saca.org.sg,103.8531838,1.3052232
Singapore Anti-Narcotics Association (SANA),Blk 2 Sengkang Square Sengkang Community Hub #05-01 Singapore 545025,6732 1122,6732 4564,www.sana.org.sg,sana@sana.org.sg,103.8940278,1.3927635
Singapore Association for the Deaf,Blk 227 Mountbatten Road Singapore 397998,6344 8274,6345 7706,www.sadeaf.org.sg,info@sadeaf.org.sg,103.8798634,1.3079002
Singapore Association of the Visually Handicapped,Blk 47 Toa Payoh Rise Singapore 298104,6251 4331,6253 7191,www.savh.org.sg,enquiries@savh.org.sg,103.8396664,1.3380689
Singapore Baptist Convention Golden Age Home,Blk 64 Kallang Bahru #01-389/393 Singapore 330064,6296 0884,6296 0865,-,sbcgah@singnet.com.sg,103.8684124,1.3203667
Singapore Buddhist Lodge Welfare Foundation,"Blk 17-19 Kim Yam Road, Singapore  239329",6437 2630,6737 0877,www.sbl.org.sg,welfare.fund@sbl.org.sg,103.8389256,1.294601
Singapore Cancer Society,Blk 15  Enggor Street #04-01 Realty Centre Singapore 079716,6221 9578,6221 9575,www.singaporecancersociety.org.sg,enquiry@singaporecancersociety.org.sg,103.8441975,1.2740511
Singapore Cheshire Home (SCH),Blk 159 Serangoon Garden Way Singapore 556056,6284 0966,6284 2782,www.cheshirehome.org.sg,admin@cheshirehome.org.sg,103.861261,1.36603
Singapore Children's Society - Sunbeam Place,Blk 28 Hong San Terrace Singapore 688247,6462 3477,6462 3371,www.childrensociety.org.sg,info@childrensociety.org.sg,103.7455933,1.3781848
Singapore Children's Society - Yishun FSC,Blk 107 Yishun Ring Road #01-233 760107,6753 7331,6753 2697,www.childrensociety.org.sg,-,103.827305,1.432263
Singapore Children's Society Corporate Office,Blk 298 Tiong Bahru Road Central Plaza #09-05 Singapore 168730,6273 2010,6273 2013,www.childrensociety.org.sg,info@childrensociety.org.sg,103.8281439,1.2863212
Singapore Children's Society Research & Outreach,Blk 9 Bishan Place Junction 8 #05-02 Singapore 579837,6358 0911,6358 0936,www.childrensociety.org.sg,-,103.8487631,1.3506808
Singapore Children's Society Youth Centre - Jurong,Blk 552 Jurong West Street 42 #01-321 Singapore  640552,6566 6989,6566 6386,www.childrensociety.org.sg,bkuah@childrensociety.org.sg,103.717986,1.352836
Singapore Children's Society Youth Service Centre,Blk 109 Toa Payoh Lorong 1 #01-316 Singapore 310109,6253 1124,6256 9443,www.childrensociety.org.sg,-,103.846346,1.341253
Singapore Christian Home,Blk 20  Sembawang Crescent Singapore  757092,6831 5177,6831 5160,www.schome.org.sg,leedawn@schome.org.sg,103.8173961,1.4447498
Singapore Council of Women's Organisation (SCWO),Blk 96 Waterloo Street Singapore 187967,6837 0611,6837 0081,www.scwo.org.sg,scwo@scwo.org.sg,103.8516718,1.2995837
"Singapore General Hospital, Medical Social Service",Blk 3 Outram Road Level 1 Singapore 169608,6326 5896,6321 4279,www.sgh.gov.sg,-,103.8387575,1.2811228
Singapore Indian Development Association (SINDA),Blk 1 Beatty Road Singapore  209943,62985911,63924300,www.sinda.org.sg,-,103.8588283,1.3140061
Singapore Nurse's Association,Blk 77 Maude Road SANA House Singapore 208353,6392 0770,6392 7877,www.sna.org.sg,sna@sana.org.sg,103.8578928,1.3083352
Singapore Planned Families Association,Blk 3A Holland Close  #01-55 Singapore  272003,6775 8981,6776 8296,www.spfa.org.sg,enquiry@spfa.org.sg,103.7968581,1.309137
Singapore Red Cross Society,Blk 15  Penang Lane Singapore 238486,6664 0552,6336 5021,www.redcross.sg,huiting.su@redcross.sg,103.8444976,1.2973744
SingHealth (CGH) – Community Care,Blk 5 Tampines Central 1 Tampines Plaza #08-01/05 Singapore 529541,6426 8053,6426 8906,https://www.cgh.com.sg,neighbours@cgh.com.sg,103.9427236,1.3530909
SingYouth Hub,Blk 141 Cecil Street Tung Ann Association Building #05-00 Singapore 069541,6100 6858,-,www.syh.org.sg,sophee.tan@syh.org.sg,103.8484033,1.2792741
Society for the Aged Sick,Blk 130  Hougang Avenue 1 Singapore 538900,6922 6222,6289 3227,www.societyagedsick.org.sg,enquiry@societyagedsick.org.sg,103.887607,1.349877
Society For The Physically Disabled (SPD),Blk 2 Peng Nguan Street SPD Ability Centre Singapore 168955,6579 0700,6323 7008,www.spd.org.sg,information@spd.org.sg,103.831207,1.282079
Society For The Physically Disabled (SPD) @ Jurong,Blk 337 Jurong East Avenue 1 #01-1562 Singapore 600337,66651848,-,www.spd.org.sg,information@spd.org.sg,103.7316804,1.3498561
Society of St. Vincent De Paul,Blk 55  Waterloo Street Catholic Centre  #03-00 187954,6337 7331,6339 2583,www.ssvpsingapore.org,ssvp.sg@gmail.com,103.8513779,1.2983777
South Central Community FSC Ltd,Blk 5 Delta Ave #01-09 Singapore 160005,6461 9200,6272 1923,www.sccfsc.sg,hello@sccfsc.org.sg,103.8283176,1.2921551
South West Community Development Council,Blk 8 Jurong Town Hall Road #03-11 The JTC Summit Singapore 609434,6316 1616,6316 7251,-,-,103.7415697,1.3313321
